issue,topic
7517,62
7519,42
7520,44
7523,42
7526,44
7535,42
7547,44
7550,44
7562,44
7563,44
7573,44
7582,62
7583,39
7595,44
7599,43
7601,42
7609,42
7613,44
7614,44
7616,44
7620,61
7639,44
7640,42
7661,43
7665,43
7666,56
7672,62
7685,1
7691,51
7696,42
7699,57
7704,12
7705,5
7720,62
7721,62
7723,62
7725,56
7727,5
7728,56
7738,60
7739,30
7741,62
7744,43
7762,44
7764,43
7770,43
7783,42
7785,62
7786,9
7800,60
7808,42
7809,61
7810,11
7811,11
7815,60
7821,57
7876,42
7877,43
7880,43
7881,43
7883,42
7888,44
7894,44
7895,27
7896,42
7898,56
7900,61
7901,22
7905,44
7906,61
7910,44
7913,43
7918,61
7921,43
7932,18
7937,33
7953,43
7961,43
7962,3
7983,8
7986,56
7994,61
7999,43
8000,48
8001,39
8002,42
8004,42
8011,5
8017,8
8018,8
8019,60
8022,8
8031,60
8033,57
8036,43
8037,35
8040,52
8041,52
8042,52
8043,35
8046,52
8047,35
8050,52
8051,52
8053,52
8054,52
8058,52
8059,52
8060,42
8062,35
8063,35
8065,52
8066,35
8071,52
8072,52
8073,42
8074,52
8075,35
8076,35
8077,35
8078,52
8079,52
8080,52
8083,52
8084,52
8085,52
8087,52
8090,42
8091,52
8092,35
8094,35
8095,42
8097,42
8098,52
8099,35
8100,52
8101,52
8102,52
8103,52
8105,35
8107,52
8108,52
8110,52
8111,52
8112,52
8115,35
8116,42
8117,31
8122,52
8123,12
8125,42
8126,52
8128,35
8129,52
8130,42
8132,35
8133,42
8135,52
8137,52
8138,52
8139,35
8140,52
8141,52
8142,35
8144,52
8146,31
8148,60
8149,52
8150,31
8151,52
8153,52
8154,35
8156,52
8158,42
8160,42
8161,52
8162,35
8164,52
8165,31
8166,35
8167,52
8169,35
8170,52
8172,52
8173,52
8174,52
8176,60
8177,52
8178,35
8179,35
8180,42
8181,31
8182,35
8184,52
8185,35
8187,52
8188,60
8190,42
8191,63
8192,52
8193,52
8196,35
8197,52
8200,35
8201,35
8202,52
8203,52
8204,35
8207,52
8208,52
8209,35
8210,12
8211,52
8212,52
8213,31
8214,35
8215,42
8219,63
8220,52
8221,52
8222,35
8223,35
8224,35
8226,35
8227,42
8229,52
8232,52
8233,52
8234,35
8235,35
8237,63
8238,63
8239,63
8241,63
8242,31
8243,52
8244,52
8246,35
8247,35
8248,35
8250,35
8251,42
8252,63
8253,35
8255,52
8256,35
8257,35
8258,35
8259,35
8260,42
8261,42
8262,31
8264,42
8266,52
8267,42
8269,35
8270,35
8271,35
8272,31
8273,35
8274,52
8276,52
8278,42
8279,52
8280,52
8281,42
8282,31
8283,52
8284,35
8285,35
8286,52
8288,42
8289,35
8291,35
8292,35
8293,35
8294,42
8295,12
8296,52
8297,56
8298,31
8299,31
8301,42
8302,52
8303,63
8304,52
8305,35
8306,63
8307,12
8308,35
8309,52
8310,52
8311,35
8312,63
8313,35
8314,35
8315,35
8316,42
8317,35
8318,52
8319,52
8320,52
8321,35
8322,35
8324,35
8325,35
8326,35
8327,52
8330,52
8331,31
8332,63
8333,35
8336,31
8337,52
8338,35
8339,31
8340,52
8341,35
8342,35
8343,63
8345,63
8346,52
8347,35
8349,35
8350,52
8352,31
8353,60
8354,52
8356,31
8358,31
8359,35
8360,31
8362,63
8364,35
8366,35
8367,42
8368,31
8369,52
8370,35
8371,12
8372,35
8373,52
8374,52
8379,63
8380,63
8381,35
8383,63
8384,52
8385,35
8386,35
8387,63
8390,31
8392,35
8393,35
8394,52
8395,35
8397,52
8400,31
8402,52
8405,35
8408,35
8410,42
8411,35
8412,52
8415,52
8416,31
8417,35
8420,35
8424,52
8434,35
8435,35
8436,52
8437,35
8439,52
8440,52
8441,35
8442,52
8444,35
8445,52
8446,12
8447,63
8448,52
8449,42
8450,52
8452,31
8453,52
8454,42
8455,52
8456,12
8458,35
8459,52
8461,52
8464,35
8465,35
8466,52
8469,42
8470,35
8471,35
8472,35
8475,35
8477,63
8478,13
8479,52
8480,52
8481,12
8482,35
8483,35
8485,35
8486,42
8489,42
8492,35
8493,13
8494,35
8495,31
8496,12
8498,35
8500,52
8501,52
8502,35
8503,12
8504,35
8507,12
8508,35
8509,63
